stationName,dataTime,pm10Value,pm25Value,sidoName
화산리,2026-04-21 16:00,164,18,울산
상남리,2026-04-21 16:00,139,23,울산
농소동,2026-04-21 16:00,148,22,울산
삼남읍,2026-04-21 16:00,73,24,울산
약사동,2026-04-21 16:00,161,-,울산
웅촌면,2026-04-21 16:00,144,19,울산
범서읍,2026-04-21 16:00,95,17,울산
북부순환도로,2026-04-21 16:00,-,-,울산
송정동,2026-04-21 16:00,138,12,울산
전하동,2026-04-21 16:00,131,21,울산
산업로,2026-04-21 16:00,158,23,울산
방어진순환도로,2026-04-21 16:00,93,14,울산
내일동,2026-04-21 16:00,110,18,경남
무전동,2026-04-21 16:00,133,13,경남
고성읍,2026-04-21 16:00,116,18,경남
거창읍,2026-04-21 16:00,57,13,경남
가야읍,2026-04-21 16:00,111,17,경남
함양읍,2026-04-21 16:00,80,15,경남
남해읍,2026-04-21 16:00,135,13,경남
산청읍,2026-04-21 16:00,73,19,경남
남상면,2026-04-21 16:00,65,11,경남
의령읍,2026-04-21 16:00,86,15,경남
창녕읍,2026-04-21 16:00,73,14,경남
합천읍,2026-04-21 16:00,81,12,경남
마산항,2026-04-21 16:00,137,25,경남
울산항,2026-04-21 16:00,147,20,울산
하동항,2026-04-21 16:00,118,20,경남
삼천포항,2026-04-21 16:00,110,21,경남
진해항,2026-04-21 16:00,-,-,경남
서석동,2026-04-21 16:00,75,12,광주
농성동,2026-04-21 16:00,71,13,광주
치평동,2026-04-21 16:00,83,16,광주
노대동,2026-04-21 16:00,85,17,광주
유촌동,2026-04-21 16:00,94,17,광주
두암동,2026-04-21 16:00,75,12,광주
운암동,2026-04-21 16:00,73,13,광주
건국동,2026-04-21 16:00,68,9,광주
일곡동,2026-04-21 16:00,74,15,광주
오선동,2026-04-21 16:00,71,11,광주
우산동(광주),2026-04-21 16:00,76,17,광주
평동,2026-04-21 16:00,90,14,광주
주월동,2026-04-21 16:00,81,11,광주
노송동,2026-04-21 16:00,78,20,전북
용당동,2026-04-21 16:00,114,14,전남
부흥동,2026-04-21 16:00,102,21,전남
서강동,2026-04-21 16:00,102,12,전남
월내동,2026-04-21 16:00,132,19,전남
문수동,2026-04-21 16:00,107,12,전남
여천동(여수),2026-04-21 16:00,108,11,전남
덕충동,2026-04-21 16:00,103,15,전남
장천동,2026-04-21 16:00,111,20,전남
연향동,2026-04-21 16:00,75,17,전남
순천만,2026-04-21 16:00,118,16,전남
호두리,2026-04-21 16:00,124,9,전남
신대,2026-04-21 16:00,130,24,전남
빛가람동,2026-04-21 16:00,86,18,전남
담양읍,2026-04-21 16:00,85,13,전남
장성읍,2026-04-21 16:00,84,8,전남
화양면,2026-04-21 16:00,105,22,전남
율촌면,2026-04-21 16:00,-,-,전남
삼일동,2026-04-21 16:00,106,13,전남
중동,2026-04-21 16:00,111,14,전남
태인동,2026-04-21 16:00,154,17,전남
광양읍,2026-04-21 16:00,127,13,전남
봉강면,2026-04-21 16:00,82,15,전남
진월면,2026-04-21 16:00,113,18,전남
해남읍,2026-04-21 16:00,113,17,전남
대불,2026-04-21 16:00,129,21,전남
